city,timestamp,temperature,season
New York,2010-01-01,-2.7413231909593105,winter
New York,2010-01-02,2.008912767547906,winter
New York,2010-01-03,0.8834203326825183,winter
New York,2010-01-04,4.563601217730472,winter
New York,2010-01-05,-5.606581429166072,winter
New York,2010-01-06,-2.644754581910051,winter
New York,2010-01-07,5.2038522471009205,winter
New York,2010-01-08,5.906925149776773,winter
New York,2010-01-09,-6.284639757129494,winter
New York,2010-01-10,0.21842959939883427,winter
New York,2010-01-11,-4.335510687198087,winter
New York,2010-01-12,0.22989849745135374,winter
New York,2010-01-13,-6.3254906182431805,winter
New York,2010-01-14,6.343706781651543,winter
New York,2010-01-15,-13.203362255257913,winter
New York,2010-01-16,1.4682218687432367,winter
New York,2010-01-17,10.32893672913737,winter
New York,2010-01-18,-8.848518410392034,winter
New York,2010-01-19,0.6471691131220104,winter
New York,2010-01-20,5.822290967324469,winter
New York,2010-01-21,9.072472277498914,winter
New York,2010-01-22,-0.26579089586741067,winter
New York,2010-01-23,2.1934073062337767,winter
New York,2010-01-24,-6.024830001125396,winter
New York,2010-01-25,3.704752970948797,winter
New York,2010-01-26,3.2125460342692684,winter
New York,2010-01-27,3.9472057021502858,winter
New York,2010-01-28,1.5950184167023707,winter
New York,2010-01-29,-2.1512616641844153,winter
New York,2010-01-30,4.612283218906944,winter
New York,2010-01-31,4.48832995605866,winter
New York,2010-02-01,10.269689855531418,winter
New York,2010-02-02,1.1055821762291582,winter
New York,2010-02-03,-2.5662528700937424,winter
New York,2010-02-04,-6.388420344073432,winter
New York,2010-02-05,-7.645519132972179,winter
New York,2010-02-06,1.6652818548361539,winter
New York,2010-02-07,-4.148522673379557,winter
New York,2010-02-08,4.904770534634869,winter
New York,2010-02-09,-5.981460702924659,winter
New York,2010-02-10,3.228092755907981,winter
New York,2010-02-11,-0.5568131498493669,winter
New York,2010-02-12,0.19672138349731239,winter
New York,2010-02-13,-4.031269305667323,winter
New York,2010-02-14,3.046415985690254,winter
New York,2010-02-15,-1.4695254359326684,winter
New York,2010-02-16,-1.8256455799620124,winter
New York,2010-02-17,0.6717632195405399,winter
New York,2010-02-18,4.777886713771649,winter
New York,2010-02-19,-5.5849108094170905,winter
New York,2010-02-20,16.4830275935873,winter
New York,2010-02-21,-0.6420246561475257,winter
New York,2010-02-22,1.5120090608203294,winter
New York,2010-02-23,-3.511035529936881,winter
New York,2010-02-24,1.9228077703124486,winter
New York,2010-02-25,-6.638485287060883,winter
New York,2010-02-26,-2.7622110462358886,winter
New York,2010-02-27,-7.29070164601873,winter
New York,2010-02-28,11.115945098292695,winter
New York,2010-03-01,12.451762359027558,spring
New York,2010-03-02,13.548677088283434,spring
New York,2010-03-03,13.995289156997428,spring
New York,2010-03-04,9.090491248455528,spring
New York,2010-03-05,11.090446712524585,spring
New York,2010-03-06,5.453015084414562,spring
New York,2010-03-07,7.150657690079379,spring
New York,2010-03-08,8.556753364094451,spring
New York,2010-03-09,10.526984490477176,spring
New York,2010-03-10,13.356335265319023,spring
New York,2010-03-11,3.8164061276140906,spring
New York,2010-03-12,11.490599657062411,spring
New York,2010-03-13,11.695215649867052,spring
New York,2010-03-14,10.601263154787917,spring
New York,2010-03-15,16.619690701852146,spring
New York,2010-03-16,21.552372530686792,spring
New York,2010-03-17,8.429972219802078,spring
New York,2010-03-18,13.7619367349385,spring
New York,2010-03-19,4.9464460905978616,spring
New York,2010-03-20,11.115423983032937,spring
New York,2010-03-21,11.73097040503806,spring
New York,2010-03-22,13.514479470843098,spring
New York,2010-03-23,2.726203219285023,spring
New York,2010-03-24,8.366535307567073,spring
New York,2010-03-25,5.36574039523124,spring
New York,2010-03-26,14.953606910788608,spring
New York,2010-03-27,9.31156169223018,spring
New York,2010-03-28,6.773987041252582,spring
New York,2010-03-29,14.313497185226762,spring
New York,2010-03-30,12.626082490884416,spring
New York,2010-03-31,13.656880435880954,spring
New York,2010-04-01,19.405627835001663,spring
New York,2010-04-02,4.4926819650661525,spring
New York,2010-04-03,18.93436307341114,spring
New York,2010-04-04,11.006146891178966,spring
New York,2010-04-05,5.278333472078284,spring
New York,2010-04-06,12.416096086506121,spring
